"date","Participant","QP1","QP2","QP3","QP4","QP5","QP6","QP7","QHS1","QHS2","QHS3","QHS4","QHS5","QHS6","QHS7","QHI1","QHI2","QHI3","QHI4","QHI5","QHI6","QHI7","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6","ATT7"
"Mon Jan  9 10:43:34 2023","4daed6ba-54ef-4c52-a776-a349af39bda0",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:44:49 2023","812cc16a-e1f0-44bc-864f-8a239f76c104",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:45:16 2023","37c46d9b-83df-4902-bfda-176cf88096e6",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:45:51 2023","c3cdb51e-92e9-4b28-bdcf-20800cffafd4",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:46:25 2023","0511698d-ca35-4d99-9a92-1cf5445034b6",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:46:48 2023","88a8d6e5-8465-419e-98f9-5f0487b6c129",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:54:19 2023","fa20c4be-b0cf-43f9-a967-355249c597db",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:54:50 2023","4087823c-bd98-45a2-8184-c06fe65ab14a",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:55:21 2023","4d59d2f6-7f1b-4961-8cff-436344ab4115",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 12:44:35 2023","647a4c75-386c-41d3-bbaf-81f5cb4ade2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mon Jan 16 09:08:31 2023","3c7d9669-84d2-47f8-b75f-70a8c4b66bcf",-2,-2,-2,2,-2,2,2,-2,0,2,2,1,-2,2,-1,1,-2,1,-1,1,1,-2,1,-2,1,-2,2,-1
"Mon Jan 16 09:14:15 2023","68f740a0-dcfa-458d-9ba6-2b24a5b00b00",2,-2,-1,1,-3,1,3,2,1,3,2,-2,-1,3,2,-1,2,-3,0,-1,-1,3,-3,1,-1,-1,-1,-1
"Mon Jan 16 09:25:55 2023","6978e71b-3c06-44fb-9691-72f88ceed930",1,-2,0,-2,-1,0,3,1,-2,0,1,-2,-2,-1,2,2,0,-2,1,1,-1,1,0,1,-2,0,0,1
"Mon Jan 16 09:36:55 2023","423e9282-7017-485e-bc22-10c6e7febd48",1,1,-2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,-1,0,1,0,1,0
"Mon Jan 16 09:48:15 2023","ef79181c-e371-4e3d-909a-e23d63d18fd3",2,-2,-1,1,-2,2,2,3,-3,1,1,-1,-2,3,-2,0,0,-1,-1,1,1,-1,1,1,-1,0,-2,0
"Mon Jan 16 10:00:14 2023","415247ac-d3d1-4890-811e-5895e08a0339",-1,-2,-1,1,-1,1,2,1,-1,1,1,-1,-2,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1
"Mon Jan 16 10:09:17 2023","0feacb4a-4e36-450a-89a0-47c7394e4646",-3,3,3,-3,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,3,3,-3,3,-3,3,-3,3,-3,3,-3,3
"Mon Jan 16 10:22:35 2023","16cce991-66f1-4c26-8975-9c38835956c5",1,-2,-2,2,-2,2,1,-2,3,-1,0,2,2,-1,2,-2,-3,2,0,0,2,-2,2,-2,2,-2,2,0
"Mon Jan 16 10:27:35 2023","e533cf16-fcdc-4984-a9b4-7c9e8dd4f08c",-2,-2,1,2,1,1,-1,-3,-1,-1,-1,0,1,1,2,1,-1,0,-1,-1,0,-2,2,-1,1,-1,1,0
