"date","Participant","QP1","QP2","QP3","QP4","QP5","QP6","QP7","QHS1","QHS2","QHS3","QHS4","QHS5","QHS6","QHS7","QHI1","QHI2","QHI3","QHI4","QHI5","QHI6","QHI7","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6","ATT7"
"Wed Jan 11 10:05:11 2023","596a62a1-e2cb-4de5-83bb-08e74eb8d105",2,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-3,-1,1,-1,-1,0,0,-1,-1,0,0,-1,-1,1
"Wed Jan 11 10:05:20 2023","4617b849-0f57-497f-91f9-b1fbae2aa7e7",-1,-1,0,-1,-1,2,2,-2,2,-2,-3,1,-2,-2,-1,2,-3,-2,-1,-1,2,-2,1,-1,2,-2,1,-1
"Wed Jan 11 10:06:09 2023","995b275d-7f23-4752-a6e2-2f7bee0dfcc9",-1,1,-1,0,0,1,1,-3,3,-2,-3,2,2,-3,-1,0,-2,2,1,1,2,-2,1,-1,2,-2,1,-1
"Wed Jan 11 10:07:14 2023","55dba95b-e512-430f-93d8-70c27ccb6311",-2,-1,-1,2,-1,3,3,-3,1,1,-3,3,-3,-2,0,0,-1,0,1,0,2,-2,2,-2,1,-1,2,-2
"Wed Jan 11 10:07:18 2023","2f5f811d-2ca1-45f2-a22d-4a88d84f4668",-2,-2,-2,1,1,2,1,-1,3,0,0,1,0,-1,0,1,-2,-1,0,0,2,-2,1,-2,2,-2,2,-2
"Wed Jan 11 10:08:37 2023","571fd600-f2ec-4684-aa4e-0503df291560",-2,-2,-1,-2,-2,2,1,-1,3,-1,-2,1,-1,-1,-2,2,-1,1,1,2,1,-1,1,-1,1,-1,1,0
"Wed Jan 11 10:08:43 2023","320d2d9d-538f-4b1a-b22a-c4c724ce2d85",2,-2,-2,0,2,-1,1,-1,0,1,-2,3,2,-2,0,-1,-2,2,1,0,1,-3,1,-2,2,-2,1,-3
"Wed Jan 11 10:09:17 2023","badb1c52-334c-46d5-bf53-443a1838dc29",-2,-1,1,-1,1,-1,-1,0,3,-1,0,0,1,0,-1,2,0,0,0,0,0,1,-1,-1,-1,0,1,0
"Wed Jan 11 10:54:17 2023","806f7e14-af9f-432c-9cbe-322128fa08f7",2,2,2,-1,2,-2,-2,-2,2,-1,-1,1,2,-2,1,-1,-3,2,0,1,-1,-2,1,0,2,-1,1,-2
"Wed Jan 11 10:54:27 2023","7f2bfde4-5861-4aa1-9d05-5c606a1c45e8",2,2,-1,0,1,-2,-1,-1,1,-2,1,-2,-1,-2,-3,-2,2,-1,-2,2,-2,2,-1,2,-2,1,-2,1
