"date","Participant","EFF1","EFF2","EFF3","EFF4","PERS1","PERS2","PERS3","PERS4","DEP1","DEP2","DEP3","DEP4","STIM1","STIM2","STIM3","STIM4","NOV1","NOV2","NOV3","NOV4","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6"
"Mon Jan  9 14:54:03 2023","e92eeaef-1ade-48ac-a5ef-7f335de87913",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:12 2023","2d08ca29-3fc8-474e-a9a6-86203b2b191b",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:14 2023","634d96a1-aa2a-412b-ad4f-d8c9a342d058",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:17 2023","e8fe04f5-8db5-4dc0-b8e1-ae7ff4b45e0e",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","d8330412-1a01-4c68-a773-09b11efa62e6",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","e0b757d3-f398-44e8-8f5c-e039cfd3170e",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","ba094797-89d7-4d02-82e0-25117d038048",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","7d24ac92-e864-4bb5-aca6-c043261df2be",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","608fc944-eb45-4f03-b7bf-622355d292c6",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
"Mon Jan  9 14:54:18 2023","2807ca35-fbc3-4f83-9e14-a92b18076776",-2,-2,2,-1,2,-2,2,-2,-1,2,0,-2,-1,1,-1,0,-1,2,-1,2,-1,-1,1,1,-1,-2
