"date","Participant","EFF1","EFF2","EFF3","EFF4","PERS1","PERS2","PERS3","PERS4","DEP1","DEP2","DEP3","DEP4","STIM1","STIM2","STIM3","STIM4","NOV1","NOV2","NOV3","NOV4","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6"
"Mon Jan  9 13:35:55 2023","56edd6fd-7e19-4661-ac0c-51f6c4513dd7",-2,2,1,1,-2,2,-2,1,2,-2,-1,-2,-1,-2,-1,-1,-1,2,-2,1,1,-1,-2,-2,-1,-1
"Mon Jan  9 14:55:17 2023","e966f573-5b82-4124-996f-626bd419607f",1,0,-1,-1,-2,3,-2,2,-3,-2,-1,0,1,-1,1,-1,1,-1,1,1,-3,2,0,-2,-1,1
"Mon Jan  9 14:55:18 2023","144fef43-691f-4c38-90b2-fd051d317559",1,1,-2,-1,-1,3,-3,3,-1,2,-2,-2,2,-2,-2,2,3,1,-2,1,-3,1,-2,-3,2,1
"Mon Jan 16 09:28:38 2023","053a10fe-078e-41ef-8712-d0c76928a031",2,-2,-2,-2,-1,2,-3,2,-2,-2,0,3,2,-2,-2,3,-1,2,2,-2,-2,2,-3,-3,2,2
"Mon Jan 16 09:31:45 2023","61bf5d65-6cf5-4c91-8be9-cf5949d315ef",0,-1,-1,0,2,-2,-2,2,-1,1,1,0,1,0,2,0,0,1,1,0,2,2,0,0,1,-1
"Mon Jan 16 09:52:59 2023","19f8e162-fc0a-4f35-9e7d-4135752b1699",0,0,1,-1,-2,2,-1,-1,0,-1,-1,-1,-1,-1,1,1,2,1,-1,1,-2,-1,-2,-1,1,-1
"Mon Jan 16 09:53:49 2023","1a6064bc-a459-43fb-be64-1e1e2834043b",-3,-1,2,1,1,-1,1,-1,-1,1,1,1,1,-2,2,1,-1,3,2,-1,2,-1,-2,-1,1,1
"Mon Jan 16 09:56:26 2023","8eb668f7-7b7f-49b1-a49e-dba3f96ef792",3,2,3,-1,3,3,3,3,3,2,1,2,2,3,3,1,2,2,0,1,2,2,-2,0,2,-1
"Mon Jan 16 09:56:55 2023","6bab48d5-1b3b-43d4-857f-6a63f5edce9e",1,-1,-2,-2,-2,2,2,1,2,1,1,1,2,1,2,2,1,-2,2,3,2,1,1,1,1,-2
"Mon Jan 16 10:00:49 2023","07883c4a-e2e6-4dac-bc65-ee5588297bf0",2,-3,-2,-1,1,-2,-3,2,-2,0,3,3,-1,-1,2,-1,-2,-1,3,-3,-1,0,-3,-3,-2,-1
"Mon Jan 16 10:09:13 2023","0546a52d-f85f-4c29-988d-413cffe0e5fc",-2,2,2,1,-2,3,-2,3,-2,-2,-2,-1,2,1,1,-2,2,-1,-1,1,1,-1,1,-1,2,1
"Mon Jan 16 10:20:40 2023","392aa61f-174d-42a9-ae94-3c6d5e9fa5e8",2,-1,1,1,1,2,2,1,1,0,2,2,2,0,-1,0,2,2,1,2,0,1,-3,-2,2,2
"Mon Jan 16 10:20:41 2023","0c08d1a9-366d-46df-afa1-0e5f9e95afa0",2,-2,-2,2,-1,2,1,2,-1,-2,2,2,2,-1,2,2,1,2,1,1,-1,1,-1,-2,2,2
"Mon Jan 16 10:26:42 2023","921431de-55e7-452d-af81-6ff651859fd2",-1,1,1,-2,1,1,1,1,1,1,-1,-1,-1,1,1,-1,2,-1,-2,1,1,-2,1,1,-1,-1
"Mon Jan 16 10:38:14 2023","19241e72-d774-458c-8318-e1c71835e006",-2,1,-1,2,1,1,1,1,1,-1,-2,-2,-2,2,1,1,-1,1,1,1,0,1,-2,0,2,2
"Mon Jan 16 12:07:37 2023","37046407-d000-410f-9193-edbdb0791b2f",2,-1,2,-3,3,2,3,-2,3,1,-3,-2,3,1,2,2,2,3,-2,-1,-3,-1,1,2,-3,2
"Mon Jan 16 14:00:08 2023","21cf9fe2-be2e-4f5e-853f-344717d8346e",1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1
