"date","Participant","EFF1","EFF2","EFF3","EFF4","PERS1","PERS2","PERS3","PERS4","DEP1","DEP2","DEP3","DEP4","STIM1","STIM2","STIM3","STIM4","NOV1","NOV2","NOV3","NOV4","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6"
"Mon Jan 16 10:23:08 2023","8a3108a3-ccf6-446f-9e83-b802fbdf7871",-3,2,1,-2,-1,0,-1,0,1,1,-1,1,-2,1,0,-1,-3,-1,-1,2,0,-2,2,1,-1,-2
"Mon Jan 16 10:24:47 2023","e29ad56c-877f-4e6d-9215-9bbf213278ab",-1,3,1,-3,-1,2,-1,-2,-1,1,1,-3,3,1,2,-1,-3,2,-1,2,1,-3,1,2,-3,-3
"Mon Jan 16 10:25:03 2023","b9f277ee-0ea8-4bd1-81c2-70ff7d6d98b9",-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,2,1,1,-1,1,1,0,1,1,-1,1,0,-1,-1
"Mon Jan 16 10:26:09 2023","500033eb-3eb3-4550-b75b-8f46231cca26",-2,2,1,-3,0,-1,-1,-2,0,2,-1,1,-1,1,2,-2,1,-2,-1,-1,2,-3,2,1,-3,-3
"Mon Jan 16 10:26:47 2023","23232e8c-4fc4-4054-8829-8dc026a465e1",-1,0,0,0,1,1,1,-1,1,1,-1,-1,-1,1,0,0,1,1,-1,-1,1,-1,0,-1,-1,1
"Mon Jan 16 10:27:32 2023","c7bcfc53-658b-429b-bbc6-67654f0e02e9",-2,0,0,-3,2,-2,1,1,1,1,0,-1,-1,2,2,-2,0,-2,-2,0,2,-2,0,2,-2,-2
"Mon Jan 16 10:27:34 2023","fe2a33fe-1084-4934-b9c6-14338fe985bf",-2,2,0,-2,2,-2,2,-2,2,2,0,-2,0,2,-1,-2,-2,-1,0,0,2,-2,2,2,-2,-2
"Mon Jan 16 10:29:08 2023","a191f2a5-8547-4fdf-a2cd-3b6136018db8",-3,2,0,-2,3,-3,2,-3,0,0,0,-3,0,0,-3,0,0,1,1,0,3,-2,2,3,0,-3
"Mon Jan 16 10:29:56 2023","bc5d4a1d-d6ed-4c03-85db-ed2fd46be103",0,0,0,-1,2,-1,1,1,-1,1,0,0,-1,0,-1,0,-1,0,0,0,2,1,0,0,-1,1
"Mon Jan 16 10:44:53 2023","8e6669f1-1d11-49ad-ba88-c6a087d97279",-1,1,1,-1,2,-1,1,-1,1,1,-1,-2,-2,2,2,-2,-2,-2,-1,1,2,-1,2,2,0,-1
"Mon Jan 16 10:45:08 2023","ad5d6b74-632a-469d-bd15-5600b456f4a0",-1,1,1,-2,2,-2,1,-1,2,1,-2,-2,-2,1,1,1,-1,2,-2,-1,2,-2,2,1,-1,-2
