"date","Participant","EFF1","EFF2","EFF3","EFF4","PERS1","PERS2","PERS3","PERS4","DEP1","DEP2","DEP3","DEP4","STIM1","STIM2","STIM3","STIM4","NOV1","NOV2","NOV3","NOV4","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6"
"Mon Jan  9 14:27:06 2023","64ea827e-6403-4668-ae07-9077239fae25",-1,2,1,1,1,-1,1,-1,-2,1,-1,-1,-2,1,1,-2,-2,-3,2,1,1,-1,-1,1,-1,-1
"Mon Jan  9 14:29:20 2023","005918c0-da14-40ce-865a-3a23549a01a5",-2,2,0,0,3,0,3,-3,1,2,0,-3,-3,2,0,0,0,2,-3,0,3,-2,3,3,-2,-3
"Mon Jan  9 14:31:51 2023","30573337-c0d5-4eb0-a1a8-44f0fb110d50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mon Jan  9 14:32:52 2023","69d43529-1a82-4dae-abf3-966b5976c37c",3,1,-1,2,-3,2,-1,2,1,-1,-2,0,-1,-2,-1,1,-1,1,-1,-1,-2,0,-1,-1,1,1
"Mon Jan  9 14:32:56 2023","68ead305-46c1-482f-bc0d-804a13e2aa7b",3,1,-1,2,-3,2,-1,2,1,-1,-2,0,-1,-2,-1,1,-1,1,-1,-1,-2,0,-1,-1,1,1
"Mon Jan  9 14:58:11 2023","66cc63bd-39f1-4c04-b3fa-d88b3c778b2b",-2,2,1,0,2,1,2,-2,2,2,-2,1,1,1,1,-2,1,1,-2,1,2,-2,-1,1,-1,-2
"Mon Jan 16 09:53:00 2023","f30a48ef-c900-4aef-9366-1e8a3de856e8",2,2,3,-1,1,-1,2,-2,2,1,0,-2,-1,1,-1,-1,-2,-1,-1,1,2,-2,2,3,-1,-1
"Mon Jan 16 10:00:54 2023","89783e91-ad90-4e40-8d90-1168f530d007",-3,0,2,-2,2,-3,3,-3,1,3,2,2,-3,3,3,2,-1,-3,3,2,0,1,2,3,-2,-3
"Mon Jan 16 10:01:51 2023","cad0591d-b8a3-4c26-a6b6-92241c12c77e",-1,0,0,2,-1,-1,-1,-1,2,0,-1,0,0,-1,0,1,3,0,0,0,1,-1,0,0,1,0
"Mon Jan 16 10:22:46 2023","60773da1-7d9f-445f-84db-6b3e2280dceb",2,-2,-1,1,2,-2,2,-2,-2,0,1,0,-2,1,1,-2,1,-1,2,-1,2,-1,2,1,-2,-2
"Mon Jan 16 10:28:01 2023","ef44647a-14c6-4cd6-a888-dadf599c850c",0,-1,0,-1,0,1,1,0,0,0,0,1,1,1,2,1,1,1,-1,1,0,1,-1,-1,2,2
"Mon Jan 16 10:28:24 2023","fe6b1d3d-145f-4598-98fa-28d8b283fc34",-2,1,1,3,-3,3,-3,1,-1,-1,-3,-1,-1,-2,2,-1,-2,-2,-1,1,-2,1,-1,-3,-1,-1
"Mon Jan 16 10:31:04 2023","967c0c1a-64aa-4d43-8a00-be5e0c6bdbe3",3,-1,0,2,2,2,-2,2,-2,-2,-2,1,2,1,1,-1,-2,-2,-1,1,1,-2,-2,1,1,-2
"Mon Jan 16 10:38:34 2023","5ed12fbb-a1f3-447e-bd6e-8e76d70e768a",0,0,0,0,1,0,2,-1,0,2,1,3,3,0,3,0,1,-1,0,2,1,0,0,0,2,1
"Mon Jan 16 13:43:57 2023","3bc34369-2711-4370-99c8-ea1ea12dcde6",1,0,0,1,-1,1,-1,1,0,1,0,-2,-2,1,1,-1,-2,-2,2,2,-1,-1,0,0,1,0
"Mon Jan 16 17:04:22 2023","8f97236a-2c92-4f04-970b-4d0220d7eb4d",-2,0,0,1,2,-1,2,-2,0,1,-1,0,-1,2,3,-2,1,-1,1,1,2,-2,1,2,-1,-2
